county_fips,tract_fips,year,measure_id,measure_name,data_value,low_ci,high_ci,unit,total_pop
36087,36087013101,2023,CSMOKING,Current cigarette smoking among adults,8.6,6.7,10.9,%,3285
36089,36089490500,2023,DIABETES,Diagnosed diabetes among adults,13.0,11.4,14.8,%,3979
36085,36085012200,2023,STROKE,Stroke among adults,3.0,2.6,3.5,%,3938
36083,36083041102,2023,CHD,Coronary heart disease among adults,5.3,4.6,6.0,%,2682
36081,36081134100,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.8,5.2,6.4,%,3659
36081,36081157102,2023,CHD,Coronary heart disease among adults,4.8,4.2,5.4,%,2109
36081,36081117500,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.9,5.3,6.6,%,5410
36085,36085001800,2023,BPHIGH,High blood pressure among adults,18.3,16.4,20.3,%,495
36087,36087010504,2023,CANCER,Cancer (non-skin) or melanoma among adults,6.9,6.3,7.6,%,7657
36085,36085019700,2023,COPD,Chronic obstructive pulmonary disease among adults,5.4,4.4,6.6,%,1958
36083,36083051902,2023,COPD,Chronic obstructive pulmonary disease among adults,7.0,5.9,8.4,%,3554
36089,36089492301,2023,OBESITY,Obesity among adults,40.6,35.4,45.6,%,3421
36085,36085013302,2023,COPD,Chronic obstructive pulmonary disease among adults,5.9,5.1,6.8,%,3733
36085,36085021300,2023,OBESITY,Obesity among adults,36.9,32.6,41.3,%,5737
36081,36081112300,2023,CSMOKING,Current cigarette smoking among adults,10.0,8.2,12.2,%,2126
36089,36089491300,2023,OBESITY,Obesity among adults,39.7,34.5,44.7,%,4221
36087,36087010902,2023,CHD,Coronary heart disease among adults,5.0,4.4,5.7,%,4139
36085,36085007700,2023,STROKE,Stroke among adults,3.4,3.1,3.8,%,1762
36085,36085014700,2023,STROKE,Stroke among adults,3.0,2.7,3.4,%,3451
36085,36085030302,2023,CHD,Coronary heart disease among adults,4.4,3.9,5.0,%,6669
36091,36091061303,2023,OBESITY,Obesity among adults,19.6,16.0,23.5,%,2123
36085,36085002002,2023,DIABETES,Diagnosed diabetes among adults,11.2,9.7,12.8,%,3302
36081,36081134100,2023,CHD,Coronary heart disease among adults,5.4,4.6,6.1,%,3659
36091,36091060102,2023,CSMOKING,Current cigarette smoking among adults,12.9,10.5,15.5,%,6304
36091,36091061500,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.1,10.1,12.2,%,3525
36087,36087011405,2023,COPD,Chronic obstructive pulmonary disease among adults,4.4,3.8,5.1,%,4173
36089,36089491200,2023,LPA,No leisure-time physical activity among adults,18.8,15.6,23.0,%,1546
36085,36085031902,2023,LPA,No leisure-time physical activity among adults,33.8,29.5,38.1,%,5500
36087,36087010501,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.4,7.6,9.2,%,5291
36081,36081112900,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.4,6.7,8.2,%,2248
36083,36083051901,2023,STROKE,Stroke among adults,3.1,2.8,3.4,%,3891
36083,36083051800,2023,COPD,Chronic obstructive pulmonary disease among adults,7.8,6.9,8.8,%,5540
36089,36089492401,2023,CSMOKING,Current cigarette smoking among adults,16.1,13.8,18.6,%,2167
36081,36081118700,2023,COPD,Chronic obstructive pulmonary disease among adults,5.3,4.4,6.3,%,2648
36085,36085013400,2023,OBESITY,Obesity among adults,30.7,27.0,34.7,%,4204
36085,36085002900,2023,CSMOKING,Current cigarette smoking among adults,17.1,14.7,19.8,%,6871
36087,36087013101,2023,BPHIGH,High blood pressure among adults,29.1,25.9,32.5,%,3285
36083,36083052306,2023,STROKE,Stroke among adults,3.3,2.9,3.7,%,4447
36091,36091062200,2023,DIABETES,Diagnosed diabetes among adults,10.5,9.0,12.0,%,3117
36085,36085024401,2023,COPD,Chronic obstructive pulmonary disease among adults,5.0,4.0,6.3,%,5687
36085,36085014608,2023,DIABETES,Diagnosed diabetes among adults,10.2,8.8,11.6,%,3640
36085,36085027302,2023,CHD,Coronary heart disease among adults,6.1,5.2,6.9,%,4242
36085,36085020806,2023,LPA,No leisure-time physical activity among adults,26.6,23.3,30.3,%,2714
36087,36087011901,2023,OBESITY,Obesity among adults,30.2,25.0,35.8,%,3943
36081,36081117100,2023,CSMOKING,Current cigarette smoking among adults,9.8,8.3,11.5,%,2837
36081,36081133900,2023,CHD,Coronary heart disease among adults,5.7,4.9,6.5,%,1360
36083,36083052201,2023,CSMOKING,Current cigarette smoking among adults,10.5,8.6,12.5,%,4322
36083,36083040100,2023,DIABETES,Diagnosed diabetes among adults,15.0,13.0,17.1,%,4017
36085,36085018703,2023,COPD,Chronic obstructive pulmonary disease among adults,4.9,4.1,5.8,%,3976
36087,36087011800,2023,STROKE,Stroke among adults,3.5,3.1,3.9,%,930
36085,36085001700,2023,CHD,Coronary heart disease among adults,5.4,4.9,6.1,%,1865
36087,36087012401,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.8,5.3,6.4,%,5307
36089,36089491800,2023,STROKE,Stroke among adults,4.2,3.8,4.5,%,4472
36087,36087010702,2023,LPA,No leisure-time physical activity among adults,42.7,37.1,48.3,%,4387
36087,36087012109,2023,CHD,Coronary heart disease among adults,9.4,8.2,10.6,%,3152
36081,36081140300,2023,OBESITY,Obesity among adults,18.5,15.9,21.2,%,2406
36089,36089490900,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.8,7.1,8.6,%,3258
36091,36091062100,2023,COPD,Chronic obstructive pulmonary disease among adults,6.9,5.7,8.3,%,1754
36091,36091061001,2023,OBESITY,Obesity among adults,31.8,26.9,37.1,%,2432
36087,36087011902,2023,CHD,Coronary heart disease among adults,5.7,4.9,6.5,%,3472
36085,36085014605,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.5,8.6,10.5,%,3785
36083,36083051901,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.7,8.7,10.6,%,3891
36083,36083052408,2023,STROKE,Stroke among adults,2.8,2.5,3.2,%,2710
36085,36085002700,2023,CHD,Coronary heart disease among adults,13.6,12.3,15.0,%,2049
36087,36087011506,2023,OBESITY,Obesity among adults,40.4,34.8,46.4,%,6888
36087,36087011700,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.3,7.5,9.2,%,3036
36087,36087012107,2023,STROKE,Stroke among adults,3.5,3.1,3.8,%,5463
36081,36081111300,2023,COPD,Chronic obstructive pulmonary disease among adults,4.8,3.8,5.7,%,2611
36087,36087012000,2023,OBESITY,Obesity among adults,27.0,22.2,32.2,%,4026
36085,36085018902,2023,CHD,Coronary heart disease among adults,6.0,5.3,6.9,%,5533
36085,36085012806,2023,STROKE,Stroke among adults,3.9,3.5,4.5,%,6659
36081,36081122702,2023,CSMOKING,Current cigarette smoking among adults,18.3,15.9,20.8,%,6959
36091,36091062407,2023,CHD,Coronary heart disease among adults,5.2,4.5,6.0,%,4448
36081,36081113900,2023,DIABETES,Diagnosed diabetes among adults,13.0,11.4,14.6,%,3602
36085,36085029102,2023,OBESITY,Obesity among adults,30.3,26.5,34.3,%,3394
36087,36087010802,2023,LPA,No leisure-time physical activity among adults,21.1,17.2,25.3,%,5288
36091,36091062410,2023,BPHIGH,High blood pressure among adults,23.8,21.1,26.8,%,3978
36085,36085019800,2023,LPA,No leisure-time physical activity among adults,20.5,17.0,24.0,%,6627
36083,36083052301,2023,LPA,No leisure-time physical activity among adults,17.2,14.2,20.6,%,4822
36091,36091061906,2023,LPA,No leisure-time physical activity among adults,20.6,17.3,24.5,%,3271
36085,36085020803,2023,OBESITY,Obesity among adults,27.6,24.0,31.7,%,7348
36087,36087011512,2023,STROKE,Stroke among adults,3.3,2.9,3.7,%,4202
36087,36087013003,2023,OBESITY,Obesity among adults,23.7,19.4,28.6,%,3265
36081,36081118500,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.4,4.0,4.9,%,2357
36083,36083041101,2023,OBESITY,Obesity among adults,29.5,23.9,35.4,%,3092
36091,36091060103,2023,STROKE,Stroke among adults,2.7,2.4,3.1,%,1890
36087,36087011101,2023,CSMOKING,Current cigarette smoking among adults,9.4,7.6,11.3,%,5857
36089,36089492401,2023,LPA,No leisure-time physical activity among adults,28.0,24.1,31.9,%,2167
36089,36089491400,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.6,6.9,8.4,%,4595
36085,36085012100,2023,BPHIGH,High blood pressure among adults,32.3,29.4,35.2,%,3212
36087,36087010803,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.9,8.9,10.9,%,5609
36087,36087012112,2023,CANCER,Cancer (non-skin) or melanoma among adults,6.4,5.8,7.1,%,4032
36085,36085017012,2023,CHD,Coronary heart disease among adults,5.6,4.8,6.5,%,4473
36085,36085018701,2023,CHD,Coronary heart disease among adults,5.2,4.5,6.0,%,1836
36081,36081140902,2023,BPHIGH,High blood pressure among adults,33.1,30.2,35.8,%,2906
36091,36091060601,2023,CHD,Coronary heart disease among adults,7.9,6.9,9.1,%,3083
36085,36085014604,2023,CSMOKING,Current cigarette smoking among adults,11.1,9.0,13.2,%,6651
