county_fips,tract_fips,year,measure_id,measure_name,data_value,low_ci,high_ci,unit,total_pop
36103,36103122704,2023,COPD,Chronic obstructive pulmonary disease among adults,4.6,3.9,5.4,%,2659
36103,36103158714,2023,DIABETES,Diagnosed diabetes among adults,8.0,7.0,9.1,%,2021
36103,36103146202,2023,STROKE,Stroke among adults,3.1,2.8,3.4,%,5047
36103,36103146004,2023,CHD,Coronary heart disease among adults,5.4,4.8,6.1,%,1941
36103,36103158805,2023,COPD,Chronic obstructive pulmonary disease among adults,5.3,4.5,6.2,%,3262
36103,36103145604,2023,DIABETES,Diagnosed diabetes among adults,10.1,8.9,11.5,%,5079
36093,36093033200,2023,LPA,No leisure-time physical activity among adults,28.2,23.7,32.9,%,3405
36103,36103158609,2023,STROKE,Stroke among adults,2.7,2.4,3.0,%,4609
36103,36103158707,2023,BPHIGH,High blood pressure among adults,31.8,29.0,34.6,%,1796
36103,36103158512,2023,COPD,Chronic obstructive pulmonary disease among adults,4.9,4.2,5.8,%,3134
36103,36103111103,2023,OBESITY,Obesity among adults,35.9,31.9,40.2,%,4247
36103,36103158310,2023,BPHIGH,High blood pressure among adults,38.6,35.6,41.7,%,4557
36101,36101960200,2023,DIABETES,Diagnosed diabetes among adults,13.7,11.9,15.7,%,3119
36103,36103158408,2023,BPHIGH,High blood pressure among adults,28.7,26.0,31.4,%,3972
